panel,n,m,seed,generator,generator_alpha,generator_sigma,data_scale,prefilter_relative_gap,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,exact_value,upper_gap,lower_gap,relative_upper_gap,relative_lower_gap,runtime,rank1_residual,relative_rank1_residual,pd_gap,relative_pd_gap,shor_gap,relative_shor_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,n_cuts,n_iters,n_rounds,full_constraint_count,oracle_solves,dual_bracket_gap,relative_dual_bracket_gap,oracle_margin,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count,rank1_repairs,rank1_residual_initial_max
square,2,2,2,correlated-top,3.0,0.1,3.15093804288851,0.01,0.1782095733570239,0.24665638007666857,Shor,Optimal,-1.3840804140331944,-1.3840804140331944,-0.8753736734639386,-1.137424031666988,0.26205035820304934,0.24665638236620646,0.23038932790877745,0.17820957501121817,0.0010050409473478794,1.2736604500996882,0.5936107639945868,1.360614954037942e-09,9.830461729265612e-10,0.24665638236620646,0.17820957501121817,1.0000000025537858,1.0000000029351308,,,,,,,,,,,,,,,,,,
square,2,2,2,correlated-top,3.0,0.1,3.15093804288851,0.01,0.1782095733570239,0.24665638007666857,Full SEP,SolutionStatus.Optimal,-1.137424031666988,-1.1374240323043703,-1.137424031666988,-1.137424031666988,0.0,6.373823691063762e-10,0.0,5.603735730948712e-10,0.0014409171417355537,1.0213452039745712e-07,1.0213452039745712e-07,6.373823691063762e-10,5.603735730948712e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,2,correlated-top,3.0,0.1,3.15093804288851,0.01,0.1782095733570239,0.24665638007666857,Dual LOP/TRS,OPTIMAL,-1.1374240339565258,-1.1374240995277936,-1.1374240339565258,-1.137424031666988,-2.2895378926079957e-09,6.786080564147312e-08,2.0129149941063276e-09,5.966183209028701e-08,0.01841433299705386,2.0235906188839262e-08,2.0235906188839262e-08,,,,,,,,,,,,,,,,23,8.250726437619704e-07,7.2538698986992e-07,-7.595013759298386e-07,,,,0,5.0813547831645474e-08
square,2,2,2,correlated-top,3.0,0.1,3.15093804288851,0.01,0.1782095733570239,0.24665638007666857,Gurobi,OPTIMAL,-1.1374241007597266,-1.1374245482100895,-1.1374241007597266,-1.137424031666988,-6.909273864152965e-08,5.165431016251887e-07,6.07449223164694e-08,4.541339488742772e-07,0.41936558298766613,,,,,,,,,,,,,,,,,,,,,,5.0,3.93389205209201e-07,6,,
square,2,2,2,correlated-top,3.0,0.1,3.15093804288851,0.01,0.1782095733570239,0.24665638007666857,Lazy SEP,Optimal,-1.1374240316670758,-1.1374240323044282,-1.1374240316670758,-1.137424031666988,-8.79296635503124e-14,6.374403227482617e-10,7.73059660269684e-14,5.60424524754241e-10,0.007104958000127226,1.0213465423382072e-07,1.0213465423382072e-07,6.373523930847114e-10,5.603472187882574e-10,,,,,6.494804694057166e-15,6.494804694057166e-15,6.494804694057166e-15,6.494804694057166e-15,coordinate,1,2,2,1,,,,,,,,,
square,2,2,3,correlated-top,3.0,0.1,3.1124126930595697,0.01,0.285226722374792,0.43681740867244945,Shor,Optimal,-1.5314743479696307,-1.5314743479696307,-0.6856561518312219,-1.0946569658813978,0.40900081405017596,0.43681738208823284,0.3736337745960955,0.2852267050162142,0.001262832898646593,1.574004734830294,0.7410337999522889,-1.3108905072556354e-09,8.559663496770698e-10,0.43681738208823284,0.2852267050162142,1.0000000192192382,1.0000000161387161,,,,,,,,,,,,,,,,,,
square,2,2,3,correlated-top,3.0,0.1,3.1124126930595697,0.01,0.285226722374792,0.43681740867244945,Full SEP,SolutionStatus.Optimal,-1.0946569658813978,-1.0946569658469842,-1.0946569658813978,-1.0946569658813978,0.0,-3.441358309430598e-11,0.0,0.0,0.0013381252065300941,6.040649243468238e-08,6.040649243468238e-08,-3.441358309430598e-11,3.143777837890684e-11,,,,,,,,,,,,,,,,,,,,,,
square,2,2,3,correlated-top,3.0,0.1,3.1124126930595697,0.01,0.285226722374792,0.43681740867244945,Dual LOP/TRS,OPTIMAL,-1.0946569392971812,-1.0946576780601627,-1.0946569392971812,-1.0946569658813978,2.6584216605840538e-08,7.121787648500799e-07,2.4285431358339195e-08,6.505949568746718e-07,0.019840457942336798,5.500394839742071e-07,5.500394839742071e-07,,,,,,,,,,,,,,,,23,9.796598952060975e-07,8.949463515773697e-07,-2.4089691308404326e-07,,,,0,2.5668714216410234e-06
square,2,2,3,correlated-top,3.0,0.1,3.1124126930595697,0.01,0.285226722374792,0.43681740867244945,Gurobi,OPTIMAL,-1.0946575881118434,-1.094658501671352,-1.0946575881118434,-1.0946569658813978,-6.222304456127148e-07,1.5357899540990871e-06,5.684247315053009e-07,1.4029854532296645e-06,0.04585466627031565,,,,,,,,,,,,,,,,,,,,,,5.0,8.345618926025589e-07,8,,
square,2,2,3,correlated-top,3.0,0.1,3.1124126930595697,0.01,0.285226722374792,0.43681740867244945,Lazy SEP,Optimal,-1.0946569658813978,-1.0946569658469842,-1.0946569658813978,-1.0946569658813978,0.0,-3.441358309430598e-11,0.0,0.0,0.0017014159820973873,6.040649257174293e-08,6.040649257174293e-08,-3.441358309430598e-11,3.143777837890684e-11,,,,,0.0,0.0,0.0,0.0,coordinate,1,2,2,1,,,,,,,,,
