panel,n,m,seed,generator,generator_alpha,generator_sigma,prefilter_relative_gap
square,2,2,2,correlated-top,3.0,0.1,0.01
square,2,2,3,correlated-top,3.0,0.1,0.01
square,2,2,4,correlated-top,3.0,0.1,0.01
square,2,2,6,correlated-top,3.0,0.1,0.01
square,2,2,8,correlated-top,3.0,0.1,0.01
square,2,2,9,correlated-top,3.0,0.1,0.01
square,2,2,13,correlated-top,3.0,0.1,0.01
square,2,2,14,correlated-top,3.0,0.1,0.01
square,2,2,15,correlated-top,3.0,0.1,0.01
square,2,2,21,correlated-top,3.0,0.1,0.01
square,4,4,0,correlated-top,3.0,0.1,0.01
square,4,4,1,correlated-top,3.0,0.1,0.01
square,4,4,2,correlated-top,3.0,0.1,0.01
square,4,4,3,correlated-top,3.0,0.1,0.01
square,4,4,4,correlated-top,3.0,0.1,0.01
square,4,4,5,correlated-top,3.0,0.1,0.01
square,4,4,6,correlated-top,3.0,0.1,0.01
square,4,4,7,correlated-top,3.0,0.1,0.01
square,4,4,8,correlated-top,3.0,0.1,0.01
square,4,4,9,correlated-top,3.0,0.1,0.01
square,6,6,0,correlated-top,3.0,0.1,0.01
square,6,6,1,correlated-top,3.0,0.1,0.01
square,6,6,2,correlated-top,3.0,0.1,0.01
square,6,6,3,correlated-top,3.0,0.1,0.01
square,6,6,4,correlated-top,3.0,0.1,0.01
square,6,6,5,correlated-top,3.0,0.1,0.01
square,6,6,6,correlated-top,3.0,0.1,0.01
square,6,6,7,correlated-top,3.0,0.1,0.01
square,6,6,8,correlated-top,3.0,0.1,0.01
square,6,6,9,correlated-top,3.0,0.1,0.01
square,8,8,0,correlated-top,3.0,0.1,0.01
square,8,8,1,correlated-top,3.0,0.1,0.01
square,8,8,2,correlated-top,3.0,0.1,0.01
square,8,8,3,correlated-top,3.0,0.1,0.01
square,8,8,4,correlated-top,3.0,0.1,0.01
square,8,8,5,correlated-top,3.0,0.1,0.01
square,8,8,6,correlated-top,3.0,0.1,0.01
square,8,8,7,correlated-top,3.0,0.1,0.01
square,8,8,8,correlated-top,3.0,0.1,0.01
square,8,8,9,correlated-top,3.0,0.1,0.01
square,10,10,0,correlated-top,3.0,0.1,0.01
square,10,10,2,correlated-top,3.0,0.1,0.01
square,10,10,3,correlated-top,3.0,0.1,0.01
square,10,10,4,correlated-top,3.0,0.1,0.01
square,10,10,5,correlated-top,3.0,0.1,0.01
square,10,10,6,correlated-top,3.0,0.1,0.01
square,10,10,7,correlated-top,3.0,0.1,0.01
square,10,10,8,correlated-top,3.0,0.1,0.01
square,10,10,9,correlated-top,3.0,0.1,0.01
square,10,10,10,correlated-top,3.0,0.1,0.01
square,15,15,0,correlated-top,3.0,0.1,0.01
square,15,15,1,correlated-top,3.0,0.1,0.01
square,15,15,2,correlated-top,3.0,0.1,0.01
square,15,15,3,correlated-top,3.0,0.1,0.01
square,15,15,4,correlated-top,3.0,0.1,0.01
square,15,15,5,correlated-top,3.0,0.1,0.01
square,15,15,6,correlated-top,3.0,0.1,0.01
square,15,15,8,correlated-top,3.0,0.1,0.01
