panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,20,20,23,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-86.02809458268544,-86.02809458268544,-86.02722558992616,-86.02808978963084,125.50920990675954,4.793054600327196e-06,5.5714991986953486e-08,0.6962793749989942,2.559214093399646e-05,1.2796166230117259e-05,2.99998149040443,1.8508409999165016e-05,162087.4775596483,,,-1.7683262854006898e-08,2.055521854783233e-10,1.0000000012530028,1.0000000011859058,,,,,,8.777905118407187e-07,8.777905118407187e-07,3.816484579810036e-08,3.816484579810036e-08,6,7,7,,,,
square,20,20,343,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-80.97685031517692,-80.97685031517692,-80.97683930410086,-80.97684977773389,101.5282495485399,5.374430287474752e-07,6.6369959643484185e-09,0.24366554099833593,3.129666891370727e-07,1.564833536840883e-07,2.9999998170985553,1.8101493795662235e-07,16573216.83483085,,,-2.9578140470221115e-07,3.6526662070823336e-09,1.000000017583468,1.0000000130228661,,,,,,2.2556802760775312e-08,2.2556802760775312e-08,9.807305675428015e-10,9.807305675428015e-10,2,3,3,,,,
square,20,20,509,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-80.1249152583043,-80.1249152583043,-80.12472965621626,-80.12490930097525,108.927325489752,5.957329051398119e-06,7.435051921356872e-08,0.25535241700708866,5.968076638247636e-06,2.9840469361489966e-06,2.9999941588769197,5.839302275392181e-06,513759.0104762016,,,-2.4369512630073586e-07,3.041440050390304e-09,1.0000000191489136,1.000000018902613,,,,,,7.529443798712866e-07,7.529443798712866e-07,3.273672067666479e-08,3.273672067666479e-08,3,4,4,,,,
square,20,20,745,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-87.39968089238626,-87.39968089238626,-87.39946704901465,-87.39967674791366,123.31675081019014,4.144472597999993e-06,4.7419768077906506e-08,0.31935449998127297,6.039243229475534e-06,3.0196260740904832e-06,2.9999960194087603,3.9822746148487384e-06,753337.3033147065,,,-1.820050812284535e-07,2.0824456035778124e-09,1.0000000129081972,1.0000000142486178,,,,,,4.869553194194451e-07,4.869553194194451e-07,2.1171975722820666e-08,2.1171975722820666e-08,4,5,5,,,,
square,20,20,1141,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-102.58304762901584,-102.58304762901584,-102.58294138048277,-102.58304584134925,132.54466656317777,1.7876665907579081e-06,1.74265303290937e-08,0.20709770795656368,3.012099548004592e-06,1.50605108522685e-06,2.999997834976786,2.1627226665650683e-06,1387139.4059699366,,,-2.667145508894464e-07,2.5999866162487223e-09,1.000000014510197,1.0000000159384022,,,,,,2.3671083732526126e-07,2.3671083732526126e-07,1.0291776843768166e-08,1.0291776843768166e-08,2,3,3,,,,
square,20,20,1326,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-80.72820893259947,-80.72820893259947,-80.7268045424154,-80.72819960379653,109.26867184904313,9.328802946129144e-06,1.1555815581041598e-07,0.5463489999528974,4.192116508349115e-05,2.096093827705106e-05,2.9999633826589545,3.6573837408541236e-05,82024.84604359182,,,-1.9857657207467128e-07,2.45981639751805e-09,1.0000000116595182,1.0000000124569939,,,,,,1.0880244594568632e-06,1.0880244594568632e-06,4.7305496270298244e-08,4.7305496270298244e-08,8,9,9,,,,
square,20,20,1748,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-99.36322262371463,-99.36322262371463,-99.36275590611966,-99.36322022739004,126.58632296025397,2.396324589426513e-06,2.411681632449984e-08,0.2005297080031596,1.1762168712966193e-05,5.881105556792489e-06,2.999991271340446,8.725227805361574e-06,343829.5639108676,,,-3.693775312285652e-07,3.7174471748705873e-09,1.0000000187049447,1.000000018334694,,,,,,5.788819502016476e-07,5.788819502016476e-07,2.516879289053103e-08,2.516879289053103e-08,2,3,3,,,,
square,20,20,1949,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-100.49156684585216,-100.49156684585216,-100.49156287213782,-100.49156287213782,127.60942346361674,3.973714342464518e-06,3.954276430538644e-08,0.267783208983019,8.987951137327102e-08,4.4939757444267334e-08,2.9999999168548657,8.536549119527603e-08,35143005.386008725,,,-3.6601441877337493e-07,3.642240142745693e-09,1.0000000168856995,1.0000000227641206,,,,,,5.4062786659982025e-09,5.4062786659982025e-09,2.350555950947839e-10,2.350555950947839e-10,3,4,4,,,,
square,20,20,2494,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-99.89691039252256,-99.89691039252256,-99.89687013899666,-99.89690638424486,144.2829422721892,4.008277699085738e-06,4.0124140810122237e-08,0.7590435830061324,1.0950396775838642e-06,5.475201289739528e-07,2.9999989240503675,1.0757841216228564e-06,2788662.579927996,,,-6.073350107271835e-07,6.079617561151756e-09,1.0000000302014547,1.000000029617266,,,,,,4.370017876760193e-08,4.370017876760193e-08,1.9000078632388926e-09,1.9000078632388926e-09,2,3,3,,,,
square,20,20,2599,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-119.84812740436747,-119.84812740436747,-119.8479118760314,-119.84812358686838,174.56306934096932,3.817499091951504e-06,3.1852805501676844e-08,0.4270773329772055,5.540114939943824e-06,2.770064830236288e-06,2.9999946066822316,5.386245335304961e-06,556973.2568656524,,,-5.111375429578402e-07,4.264877174369714e-09,1.0000000326660108,1.0000000308630836,,,,,,1.9261685121038305e-07,1.9261685121038305e-07,8.374647723214107e-09,8.374647723214107e-09,3,4,4,,,,
