panel,n,m,seed,generator,condition,center_scale,prefiltered
square,20,20,23,ellipsoids,5.0,1.0,True
square,20,20,343,ellipsoids,5.0,1.0,True
square,20,20,509,ellipsoids,5.0,1.0,True
square,20,20,745,ellipsoids,5.0,1.0,True
square,20,20,1141,ellipsoids,5.0,1.0,True
square,20,20,1326,ellipsoids,5.0,1.0,True
square,20,20,1748,ellipsoids,5.0,1.0,True
square,20,20,1949,ellipsoids,5.0,1.0,True
square,20,20,2494,ellipsoids,5.0,1.0,True
square,20,20,2599,ellipsoids,5.0,1.0,True
square,25,25,207,ellipsoids,5.0,1.0,True
square,25,25,587,ellipsoids,5.0,1.0,True
square,25,25,1419,ellipsoids,5.0,1.0,True
square,25,25,1658,ellipsoids,5.0,1.0,True
square,25,25,1758,ellipsoids,5.0,1.0,True
square,25,25,2217,ellipsoids,5.0,1.0,True
square,25,25,3690,ellipsoids,5.0,1.0,True
square,25,25,3980,ellipsoids,5.0,1.0,True
square,25,25,5665,ellipsoids,5.0,1.0,True
square,25,25,5689,ellipsoids,5.0,1.0,True
square,30,30,966,ellipsoids,5.0,1.0,True
square,30,30,1714,ellipsoids,5.0,1.0,True
square,30,30,5295,ellipsoids,5.0,1.0,True
square,30,30,6150,ellipsoids,5.0,1.0,True
square,30,30,7721,ellipsoids,5.0,1.0,True
square,30,30,11913,ellipsoids,5.0,1.0,True
square,30,30,12221,ellipsoids,5.0,1.0,True
square,30,30,13508,ellipsoids,5.0,1.0,True
square,30,30,15956,ellipsoids,5.0,1.0,True
square,30,30,16562,ellipsoids,5.0,1.0,True
