panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,2,2,62,ellipsoids,5.0,1.0,True,0.013222900729182365,0.24434615866876186,Gurobi,OPTIMAL,-18.23466715869666,-18.234670534765932,-18.23466715869666,-18.23466715869666,19.639696387720527,3.376069273031135e-06,1.8514561404300533e-07,0.7174019999802113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.8513767731549293e-07,3
square,2,2,66,ellipsoids,5.0,1.0,True,0.015486894638404839,0.46363422085564565,Gurobi,OPTIMAL,-29.473563111520622,-29.473587154961578,-29.473563111520622,-29.473563111520622,30.812277962806863,2.4043440955523465e-05,8.157622901179844e-07,0.044698874931782484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.15762955225024e-07,1
square,2,2,401,ellipsoids,5.0,1.0,True,0.028215772613891132,1.3485614096655425,Gurobi,OPTIMAL,-46.446033057743136,-46.44605246309694,-46.446033057743136,-46.446033057743136,50.71381109693818,1.9405353803847447e-05,4.178041571835561e-07,0.038541791029274464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.178043317439428e-07,1
square,2,2,439,ellipsoids,5.0,1.0,True,0.015647404420285796,1.141126668955394,Gurobi,OPTIMAL,-71.78641059569158,-71.78643646015814,-71.78641059569158,-71.78641059569158,75.35139954131125,2.5864466564939903e-05,3.6029740213243235e-07,0.08252179156988859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.6029753194669713e-07,2
square,2,2,655,ellipsoids,5.0,1.0,True,0.03905921830848681,2.0115207907294277,Gurobi,OPTIMAL,-49.48773797176258,-49.48776680770578,-49.48773797176258,-49.48773797176258,52.66739871724745,2.8835943204796877e-05,5.826883099583877e-07,0.051685040816664696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.826886493406725e-07,1
square,2,2,952,ellipsoids,5.0,1.0,True,0.023013389197469532,0.9748775562332312,Gurobi,OPTIMAL,-41.38644297192371,-41.386472443080116,-41.38644297192371,-41.38644297192371,45.07520499065542,2.94711564094996e-05,7.120963607138067e-07,0.04226891603320837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.120968676237097e-07,1
square,2,2,3786,ellipsoids,5.0,1.0,True,0.01661543932337431,0.5931132902047551,Gurobi,OPTIMAL,-35.10340238184093,-35.10343689502838,-35.10340238184093,-35.10340238184093,36.018814402394376,3.451318745106846e-05,9.83185422962288e-07,0.08022812474519014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.831863894143999e-07,2
square,2,2,4077,ellipsoids,5.0,1.0,True,0.022752961811145687,0.4827971436580363,Gurobi,OPTIMAL,-20.736292822094683,-20.736304852353797,-20.736292822094683,-20.736292822094683,21.83142673603818,1.2030259114226283e-05,5.801544296288023e-07,0.04086370812729001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.801547663794882e-07,1
square,2,2,4109,ellipsoids,5.0,1.0,True,0.012695749150966598,0.5714037899762943,Gurobi,OPTIMAL,-44.43608518776474,-44.4361137383511,-44.43608518776474,-44.43608518776474,45.616558475718485,2.8550586357312113e-05,6.425086254262421e-07,0.058164041955024004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.425090380839388e-07,2
square,2,2,4420,ellipsoids,5.0,1.0,True,0.015230497875171174,0.4830789702132279,Gurobi,OPTIMAL,-31.234792249265773,-31.234792459005636,-31.234792249265773,-31.234792249265773,31.376054347151126,2.0973986281092039e-07,6.714943378804108e-09,0.06639333395287395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.499885077867003e-09,2
