panel,n,m,seed,generator,condition,center_scale,prefilter_relative_gap
square,2,2,62,ellipsoids,5.0,1.0,0.01
square,2,2,66,ellipsoids,5.0,1.0,0.01
square,2,2,401,ellipsoids,5.0,1.0,0.01
square,2,2,439,ellipsoids,5.0,1.0,0.01
square,2,2,655,ellipsoids,5.0,1.0,0.01
square,2,2,952,ellipsoids,5.0,1.0,0.01
square,2,2,3786,ellipsoids,5.0,1.0,0.01
square,2,2,4077,ellipsoids,5.0,1.0,0.01
square,2,2,4109,ellipsoids,5.0,1.0,0.01
square,2,2,4420,ellipsoids,5.0,1.0,0.01
square,4,4,205,ellipsoids,5.0,1.0,0.01
square,4,4,397,ellipsoids,5.0,1.0,0.01
square,4,4,467,ellipsoids,5.0,1.0,0.01
square,4,4,2062,ellipsoids,5.0,1.0,0.01
square,4,4,2170,ellipsoids,5.0,1.0,0.01
square,4,4,2362,ellipsoids,5.0,1.0,0.01
square,4,4,2366,ellipsoids,5.0,1.0,0.01
square,4,4,2525,ellipsoids,5.0,1.0,0.01
square,4,4,2915,ellipsoids,5.0,1.0,0.01
square,4,4,2988,ellipsoids,5.0,1.0,0.01
square,6,6,27,ellipsoids,5.0,1.0,0.01
square,6,6,99,ellipsoids,5.0,1.0,0.01
square,6,6,534,ellipsoids,5.0,1.0,0.01
square,6,6,632,ellipsoids,5.0,1.0,0.01
square,6,6,966,ellipsoids,5.0,1.0,0.01
square,6,6,988,ellipsoids,5.0,1.0,0.01
square,6,6,1394,ellipsoids,5.0,1.0,0.01
square,6,6,1450,ellipsoids,5.0,1.0,0.01
square,6,6,2231,ellipsoids,5.0,1.0,0.01
square,6,6,2486,ellipsoids,5.0,1.0,0.01
square,8,8,65,ellipsoids,5.0,1.0,0.01
square,8,8,1386,ellipsoids,5.0,1.0,0.01
square,8,8,1421,ellipsoids,5.0,1.0,0.01
square,8,8,1516,ellipsoids,5.0,1.0,0.01
square,8,8,1659,ellipsoids,5.0,1.0,0.01
square,8,8,2276,ellipsoids,5.0,1.0,0.01
square,8,8,2404,ellipsoids,5.0,1.0,0.01
square,8,8,2796,ellipsoids,5.0,1.0,0.01
square,8,8,2958,ellipsoids,5.0,1.0,0.01
square,8,8,3555,ellipsoids,5.0,1.0,0.01
square,10,10,273,ellipsoids,5.0,1.0,0.01
square,10,10,1289,ellipsoids,5.0,1.0,0.01
square,10,10,2626,ellipsoids,5.0,1.0,0.01
square,10,10,3432,ellipsoids,5.0,1.0,0.01
square,10,10,3782,ellipsoids,5.0,1.0,0.01
square,10,10,4627,ellipsoids,5.0,1.0,0.01
square,10,10,4911,ellipsoids,5.0,1.0,0.01
square,10,10,5823,ellipsoids,5.0,1.0,0.01
square,10,10,5903,ellipsoids,5.0,1.0,0.01
square,10,10,6260,ellipsoids,5.0,1.0,0.01
square,15,15,278,ellipsoids,5.0,1.0,0.01
square,15,15,729,ellipsoids,5.0,1.0,0.01
square,15,15,2620,ellipsoids,5.0,1.0,0.01
square,15,15,3869,ellipsoids,5.0,1.0,0.01
square,15,15,4966,ellipsoids,5.0,1.0,0.01
square,15,15,5317,ellipsoids,5.0,1.0,0.01
square,15,15,11664,ellipsoids,5.0,1.0,0.01
square,15,15,14508,ellipsoids,5.0,1.0,0.01
square,15,15,15664,ellipsoids,5.0,1.0,0.01
square,15,15,16969,ellipsoids,5.0,1.0,0.01
