file,n,method,status,value,lower_bound,upper_bound,reference_value,bound_gap,relative_bound_gap,reference_error,relative_reference_error,runtime,pd_gap,relative_pd_gap,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
generated_centered_n_20_seed_18,20,Lazy SEP,Optimal,-6.12583370647721,-6.12583370647721,-6.125833495717533,,,,,,1.0325985830277205,2.928679521119193e-11,4.780866836170438e-12,3.776512175925003e-08,3.776512175925003e-08,1.9999999761409104,2.304209754581998e-08,86797652.52116668,1.0000000014550603,0.9999999985881006,0.9999999610616147,0.9999999582418081,0.0,2.1078896406123704e-07,3.4405060170532715e-08,2.848460217697024e-10,1.8090612581044068e-09,2.848460217697024e-10,1.8090612581044068e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_40,20,Lazy SEP,Optimal,-7.148415779628743,-7.148415779628743,-7.148415544410726,,,,,,0.9004403330036439,9.485923158081278e-11,1.3269965612680037e-11,3.8194446650884596e-08,3.8194446650884596e-08,1.9999999749470427,2.36654503621123e-08,84511384.50122143,1.000000000602378,1.0000000014542143,0.9999999606367918,0.9999999579789659,0.0,2.3531287585143446e-07,3.2904915420584256e-08,4.4871997090245586e-10,1.6263039558472536e-09,4.4871997090245586e-10,1.6263039558472536e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_74,20,Lazy SEP,Optimal,-6.4634588208526065,-6.4634588208526065,-6.463457981148795,,,,,,1.0853562080301344,-2.872670989972903e-10,4.4444794491534545e-11,1.437225136937871e-07,1.437225136937871e-07,1.9999999093685916,8.651218703190865e-08,23118129.109727897,1.0000000010651384,1.0000000029213196,0.9999998518372144,0.9999998853144803,0.0,8.394165442737744e-07,1.2991555058163192e-07,1.1402397082083127e-09,6.2717600571015775e-09,1.1402397082083127e-09,6.2717600571015775e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_96,20,Lazy SEP,Optimal,-6.699761284766631,-6.699761284766631,-6.6997607261271215,,,,,,0.8760612499900162,-2.8554225650623266e-10,4.261976574530726e-11,1.0036232566694302e-07,1.0036232566694302e-07,1.9999999304830276,6.730152287215278e-08,29717008.547967993,1.0000000011880292,1.000000002414475,0.9999998970501351,0.9999999150317977,0.0,5.583539675058091e-07,8.338200213677824e-08,1.040742358612845e-09,4.658534848273446e-09,1.040742358612845e-09,4.658534848273446e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_109,20,Lazy SEP,Optimal,-7.040820600809474,-7.040820600809474,-7.040820559304432,,,,,,0.8925987919792533,-3.361320111139321e-10,4.77404595531503e-11,5.883063509648016e-09,5.883063509648016e-09,1.9999999961626582,3.4194574606833967e-09,584888105.5426108,1.0000000010421852,1.0000000021433726,0.9999999936420716,0.9999999929269322,0.0,4.116891005878642e-08,5.894915439988426e-09,2.355563348543921e-10,1.7362981138431754e-09,2.355563348543921e-10,1.7362981138431754e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_125,20,Lazy SEP,Optimal,-6.342696876096311,-6.342696876096311,-6.342696481080828,,,,,,3.4119467500131577,-4.7210235720740457e-11,7.443243251724898e-12,6.848682768400493e-08,6.848682768400493e-08,1.9999999530788646,4.2600691240478824e-08,46947593.920224495,1.0000000002578793,0.6681532594404236,0.999999927243744,0.6681531885150163,0.0,3.949682731985149e-07,6.227878947249213e-08,7.529924127172398e-08,4.986179182901578e-07,7.529924127172398e-08,4.986179182901578e-07,coordinate,,,,,96,5,5,36100,,,
generated_centered_n_20_seed_143,20,Lazy SEP,Optimal,-6.707631057257669,-6.707631057257669,-6.707630947305665,,,,,,0.9530430829618126,-7.794920264814209e-11,1.1620973482702349e-11,1.748215816308273e-08,1.748215816308273e-08,1.9999999868612253,1.1332756848020463e-08,176479563.94745848,1.0000000007990189,1.0000000016647694,0.9999999805506274,0.9999999797861933,0.0,1.098740547433863e-07,1.639207687594358e-08,4.432083857905389e-10,3.626205505053779e-09,4.432083857905389e-10,3.626205505053779e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_182,20,Lazy SEP,Optimal,-7.056033222187903,-7.056033222187903,-7.056032422204844,,,,,,0.9826180419768207,-1.1494361018549171e-10,1.629011748754926e-11,1.2783236447769588e-07,1.2783236447769588e-07,1.9999999075692294,7.886421980887929e-08,25360041.75805021,1.0000000011412455,1.0000000027771405,0.9999998577714431,0.9999998817088738,0.0,7.998681157417309e-07,1.1337575010791421e-07,1.915631313298416e-09,1.1357225342833271e-08,1.915631313298416e-09,1.1357225342833271e-08,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_20_seed_185,20,Lazy SEP,Optimal,-6.761312611403023,-6.761312611403023,-6.761312561748769,,,,,,1.8750022500171326,1.516653469479934e-11,2.2431346642988854e-12,9.094008501924015e-09,9.094008501924015e-09,1.9999999907919996,9.080447546368653e-09,220253460.03918236,1.0000000002107212,0.9999999992723682,0.9999999906107553,0.9999999885600287,0.0,4.9669420576492485e-08,7.343877867450661e-09,4.0746966326228595e-10,3.6694466977312667e-09,4.0746966326228595e-10,3.6694466977312667e-09,coordinate,,,,,100,2,2,36100,,,
generated_centered_n_20_seed_220,20,Lazy SEP,Optimal,-5.68888678913542,-5.68888678913542,-5.6888858638530655,,,,,,1.0382518750266172,-2.5634605549385014e-11,4.5060846699114724e-12,1.8414468566903393e-07,1.8414468566903393e-07,1.9999998796999332,1.1485244811219286e-07,17413646.052596513,1.00000000100818,1.000000002952637,0.9999998097828027,0.9999998301099502,0.0,9.252567201301076e-07,1.6264734895107285e-07,7.741446685083364e-10,5.6599461517562385e-09,7.741446685083364e-10,5.6599461517562385e-09,coordinate,,,,,0,1,1,36100,,,
generated_centered_n_25_seed_32,25,Lazy SEP,Optimal,-8.634885906563932,-8.634885906563932,-8.63488588285841,,,,,,2.764565500023309,-1.6041212802520022e-10,1.857721454122059e-11,2.5631206611048736e-09,2.5631206611048736e-09,1.9999999977595126,1.7452214937493685e-09,1145986343.2364607,1.000000000438712,1.0000000002987248,0.9999999969375137,0.9999999951383092,0.0,2.354511074997845e-08,2.745319756915787e-09,1.1101676175573338e-10,1.0023491197465814e-09,1.1101676175573338e-10,1.0023491197465814e-09,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_34,25,Lazy SEP,Optimal,-7.19022462620086,-7.19022462620086,-7.190224542077531,,,,,,12.949276166036725,2.7182700534922333e-11,3.780507835022257e-12,1.1723135824459051e-08,1.1723135824459051e-08,1.9999999864428721,1.0368466072062461e-08,192892562.1728961,0.9999999995432407,1.0000000029606952,0.9999999844563101,0.9999999855813213,0.0,8.415051144794461e-08,1.1699680207606868e-08,1.4128893684357824e-09,4.82905085534799e-09,1.4128893684357824e-09,4.82905085534799e-09,coordinate,,,,,400,5,5,90000,,,
generated_centered_n_25_seed_94,25,Lazy SEP,Optimal,-7.14471766956968,-7.14471766956968,-7.144717627063379,,,,,,3.1969637500005774,1.447197917059384e-11,2.0255494814346494e-12,5.53620482555352e-09,5.53620482555352e-09,1.9999999962841462,3.2589990996242943e-09,613685347.9078013,1.0000000018987658,0.9999999976125823,0.9999999943120281,0.9999999914829261,0.0,4.2520772680632035e-08,5.949332453331436e-09,1.5568623372094487e-10,1.5269715298317206e-09,1.5568623372094487e-10,1.5269715298317206e-09,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_100,25,Lazy SEP,Optimal,-5.79006998728193,-5.79006998728193,-5.790069593892252,,,,,,8.566478083026595,-5.695000027117203e-12,9.835805162332146e-13,6.235674798216231e-08,6.235674798216231e-08,1.9999999460156466,4.597927812454007e-08,43497854.41603543,1.0000000001756364,1.0000000005323422,0.9999999287967725,0.9999999033006186,0.0,3.9338398316601797e-07,6.794212833871401e-08,5.00276858134141e-10,8.416120411048634e-09,5.00276858134141e-10,8.416120411048634e-09,coordinate,,,,,200,3,3,90000,,,
generated_centered_n_25_seed_115,25,Lazy SEP,Optimal,-8.535364052836512,-8.535364052836512,-8.53536395968331,,,,,,2.9084441250306554,-5.226041821515537e-11,6.122810684072456e-12,1.2503102289023201e-08,1.2503102289023201e-08,1.9999999921296068,7.912519013610104e-09,252764004.57167464,1.0000000004845364,0.9999999995133871,0.9999999874370639,0.9999999877728185,0.0,9.310094029046923e-08,1.0913793498676519e-08,1.7429196974561023e-10,7.019708405556259e-10,1.7429196974561023e-10,7.019708405556259e-10,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_445,25,Lazy SEP,Optimal,-7.660570814418549,-7.660570814418549,-7.6605697993192425,,,,,,11.056372667022515,-2.983657765298631e-11,3.894824338263226e-12,1.1880263074930529e-07,1.1880263074930529e-07,1.999999885141545,9.128251585049869e-08,21909999.59309972,1.0000000004997165,0.9446124361798357,0.9999998529954616,0.944612244595672,0.0,1.0150694702559804e-06,1.3250961728896714e-07,9.945391118634794e-08,4.4851262535105564e-07,9.945391118634794e-08,4.4851262535105564e-07,coordinate,,,,,23,4,4,90000,,,
generated_centered_n_25_seed_352,25,Lazy SEP,Optimal,-6.925144627494232,-6.925144627494232,-6.9251440151362065,,,,,,3.9287722089793533,2.0294876890147862e-10,2.9306069377342786e-11,9.344276516881858e-08,9.344276516881858e-08,1.9999999117278677,8.161484816220356e-08,24505343.779516853,1.0000000011087145,1.0000000027206137,0.9999998963819863,0.9999998862523307,0.0,6.125609743889981e-07,8.842530496603794e-08,5.557526413027536e-09,4.38427258591971e-08,5.557526413027536e-09,4.38427258591971e-08,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_375,25,Lazy SEP,Optimal,-7.69439961983899,-7.69439961983899,-7.694399540176033,,,,,,3.174772917001974,-1.8843593352357857e-10,2.4490011285314776e-11,1.0425390341465407e-08,1.0425390341465407e-08,1.9999999903643562,7.390228520139863e-09,270627624.6957659,0.9999999999338507,1.0000000046975177,0.9999999872618025,0.999999988436613,0.0,7.947452118628462e-08,1.0353368820928902e-08,3.5830425909252894e-10,2.4843878248361546e-09,3.5830425909252894e-10,2.4843878248361546e-09,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_421,25,Lazy SEP,Optimal,-7.769967395668055,-7.769967395668055,-7.7699667751886565,,,,,,3.4534067919594236,-1.2037659757879737e-10,1.549254861042406e-11,8.892255323149018e-08,8.892255323149018e-08,1.99999992601449,6.740863301676568e-08,29669789.113169763,1.0000000003008307,1.0000000005649874,0.9999999026672648,0.9999999316693862,0.0,6.203590219300281e-07,7.985611353704512e-08,1.6922650000056327e-09,1.2457652005838775e-08,1.6922650000056327e-09,1.2457652005838775e-08,coordinate,,,,,0,1,1,90000,,,
generated_centered_n_25_seed_423,25,Lazy SEP,Optimal,-7.318344651169429,-7.318344651169429,-7.3183164987310825,,,,,,28.31160416698549,-1.971400820366398e-11,2.693779692449138e-12,4.4910081896731555e-06,4.4910081896731555e-06,1.999996305350848,3.4935396640022323e-06,572484.2130630437,1.000000000396443,1.0000000006721843,0.999995260400832,0.9999964844958715,0.0,2.8152418632743093e-05,3.846831447361898e-06,7.091321781952514e-09,1.0576932738664187e-07,7.091321781952514e-09,1.0576932738664187e-07,coordinate,,,,,900,10,10,90000,,,
generated_centered_n_30_seed_45,30,Lazy SEP,Optimal,-8.491525025426562,-8.491525025426562,-8.491524172577023,,,,,,22.954300125013106,-5.363709476569056e-11,6.316544390446069e-12,1.1593074196042629e-07,1.1593074196042629e-07,1.9999998890668487,1.02196228499538e-07,19570192.740291685,1.0000000005814185,1.0000000011969488,0.9999998718899197,0.9999998674287904,0.0,8.527959014514863e-07,1.0043537950986727e-07,2.651573213600933e-09,2.8976594719353972e-08,2.651573213600933e-09,2.8976594719353972e-08,coordinate,,,,,200,3,3,189225,,,
generated_centered_n_30_seed_273,30,Lazy SEP,Optimal,-7.8240912624256165,-7.8240912624256165,-7.824090301821475,,,,,,37.50526170799276,2.9487523534044158e-12,3.768811296419166e-13,1.4442903497077225e-07,1.4442903497077225e-07,1.9999999036771767,9.057199849728488e-08,22081878.912466876,1.0000000005067569,0.999999999780558,0.9999998496350959,0.9999998724205805,0.0,9.60607089872667e-07,1.2277517080271226e-07,5.155265523281924e-10,3.943501586023075e-09,5.155265523281924e-10,3.943501586023075e-09,coordinate,,,,,500,6,6,189225,,,
generated_centered_n_30_seed_79,30,Lazy SEP,Optimal,-7.860691582603493,-7.860691582603493,-7.860691503775337,,,,,,7.315611416008323,2.4503954421106755e-11,3.1172771713034116e-12,9.756601154630061e-09,9.756601154630061e-09,1.9999999912504562,6.9832228225341505e-09,286400712.40411514,1.0000000005735445,1.0000000000704095,0.9999999884149698,0.9999999821266099,0.0,7.88526595130179e-08,1.0028145072254392e-08,1.972946112038798e-10,2.0615801012975547e-09,1.972946112038798e-10,2.0615801012975547e-09,coordinate,,,,,0,1,1,189225,,,
generated_centered_n_30_seed_126,30,Lazy SEP,Optimal,-8.427878812533143,-8.427878812533143,-8.427878170570422,,,,,,13.0579581669881,1.5150547483244736e-11,1.7976703059273084e-12,1.0373083260191718e-07,1.0373083260191718e-07,1.999999899661826,9.887842142816241e-08,20226859.114198893,1.0000000000760199,1.0000000001631448,0.9999998938517005,0.9999999322180637,0.0,6.419778717514646e-07,7.617132797986075e-08,4.085959589335969e-09,2.0036333250178942e-08,4.085959589335969e-09,2.0036333250178942e-08,coordinate,,,,,100,2,2,189225,,,
generated_centered_n_30_seed_146,30,Lazy SEP,Optimal,-7.38708909497078,-7.38708909497078,-7.3870888863133075,,,,,,7.804851125052664,1.0309531006669204e-10,1.395614818520066e-11,3.064632429889704e-08,3.064632429889704e-08,1.9999999765327854,2.136142855042285e-08,93626695.97737157,1.0000000016938597,0.9999999967559556,0.999999965955372,0.9999999694885423,0.0,2.0876056794350006e-07,2.8246237448995966e-08,7.107560061336837e-10,6.817233615939948e-09,7.107560061336837e-10,6.817233615939948e-09,coordinate,,,,,0,1,1,189225,,,
generated_centered_n_30_seed_149,30,Lazy SEP,Optimal,-9.686081110247372,-9.686081110247372,-9.686080904639136,,,,,,11.236916875001043,1.9587886868066562e-11,2.0222716127519926e-12,2.4268096493913968e-08,2.4268096493913968e-08,1.9999999863995468,1.4011697534595618e-08,142737878.93732658,1.0000000008400383,0.9064698801175533,0.9999999761315668,0.9064698580631334,0.0,2.0562782410138425e-07,2.1227185058051322e-08,9.183721385447319e-08,5.677342674897748e-07,9.183721385447319e-08,5.677342674897748e-07,coordinate,,,,,3,2,2,189225,,,
generated_centered_n_30_seed_160,30,Lazy SEP,Optimal,-9.585153179591115,-9.585153179591115,-9.585153133593604,,,,,,7.317117957980372,-1.4418688465411833e-11,1.5042731394332194e-12,5.597004022635111e-09,5.597004022635111e-09,1.9999999964502293,3.532892931763366e-09,566108295.6884214,1.000000000088969,1.000000000064119,0.9999999943711304,0.9999999963373989,0.0,4.5983092888945976e-08,4.7988290552674876e-09,5.2103389636647124e-11,3.356867500954512e-10,5.2103389636647124e-11,3.356867500954512e-10,coordinate,,,,,0,1,1,189225,,,
generated_centered_n_30_seed_206,30,Lazy SEP,Optimal,-7.824808348912209,-7.824808348912209,-7.824807947565062,,,,,,8.002909458009526,-1.0399059391374976e-10,1.328985826575629e-11,6.466853389092743e-08,6.466853389092743e-08,1.9999999370557726,6.045029610037145e-08,33085031.274867207,1.0000000008071253,1.000000002473801,0.9999999310680898,0.9999999407850404,0.0,4.0124315692224855e-07,5.12916265319082e-08,3.5306079544314417e-09,3.1279344006867765e-08,3.5306079544314417e-09,3.1279344006867765e-08,coordinate,,,,,0,1,1,189225,,,
generated_centered_n_30_seed_306,30,Lazy SEP,Optimal,-8.41306238383765,-8.41306238383765,-8.413061781457998,,,,,,17.60758824995719,1.2954082251326327e-10,1.539758254522448e-11,7.454937890437419e-08,7.454937890437419e-08,1.9999999184716744,7.155155361200528e-08,27951872.705893338,1.0000000009330314,1.000000000404752,0.9999999108675269,0.9999998917027986,0.0,6.025091927597259e-07,7.16005212435421e-08,1.373124169923301e-09,1.921422227015505e-08,1.373124169923301e-09,1.921422227015505e-08,coordinate,,,,,200,3,3,189225,,,
generated_centered_n_30_seed_216,30,Lazy SEP,Optimal,-7.914177845392315,-7.914177845392315,-7.914173584613582,,,,,,37.37970175000373,2.9549696023423166e-12,3.7337669939559404e-13,4.84740496617331e-07,4.84740496617331e-07,1.9999994884287808,3.2744145192820453e-07,6107960.603800721,1.0000000002150857,1.000000001186577,0.9999993567207786,0.9999991967063114,0.0,4.260781687470683e-06,5.383728816483109e-07,3.139868421904793e-09,6.785294717271019e-08,3.139868421904793e-09,6.785294717271019e-08,coordinate,,,,,500,6,6,189225,,,
generated_centered_n_20_seed_18,20,Lazy KRON,Optimal,-6.125833727696251,-6.125833727696251,-6.12582994138967,,,,,,0.26497025007847697,-2.8910482896549183e-09,4.71943643619292e-10,7.018477259984414e-07,7.018477259984414e-07,1.9999995556784818,4.3408026286319034e-07,4607441.8184473505,1.0000000195146364,1.0000000465267727,0.9999992875304837,0.999999301763774,0.0,3.7834155328653196e-06,6.180883695938798e-07,,,,,,6.797943807844471e-09,6.797943807844471e-09,2.955627912327288e-10,2.955627912327288e-10,2,3,3,,,,
generated_centered_n_20_seed_40,20,Lazy KRON,Optimal,-7.148415926791388,-7.148415926791388,-7.148361485158433,,,,,,0.46637395792640746,1.281178718670617e-09,1.7922554196502697e-10,9.054355639015146e-06,9.054355639015146e-06,1.9999943226289976,5.678399558832831e-06,352210.91821866925,1.0000000086402059,1.0000000142586762,0.9999909470230557,0.9999901586099665,0.0,5.444291413336799e-05,7.615901692374775e-06,,,,,,2.62221610560011e-07,2.62221610560011e-07,1.1400948345706188e-08,1.1400948345706188e-08,6,7,7,,,,
generated_centered_n_20_seed_74,20,Lazy KRON,Optimal,-6.463458908133774,-6.463458908133774,-6.4633475741017445,,,,,,0.276896582916379,-1.4530734837592263e-08,2.248136028111269e-09,1.977300480392925e-05,1.977300480392925e-05,1.9999881522444902,1.1840091857930205e-05,168916.607763051,1.0000000292536717,1.0000000775929296,0.9999802182046763,0.9999856999703142,0.0,0.00011131950129428247,1.7225147341621467e-05,,,,,,5.686866990811143e-07,5.686866990811143e-07,2.472554304313674e-08,2.472554304313674e-08,3,4,4,,,,
generated_centered_n_20_seed_96,20,Lazy KRON,Optimal,-6.699761555397542,-6.699761555397542,-6.699614123761191,,,,,,0.3398724169237539,-4.561952593462593e-09,6.809126796142973e-10,2.7229290480933808e-05,2.7229290480933808e-05,1.9999819273475608,1.807028487998935e-05,110677.94119628397,1.0000000112073681,1.0000000254857448,0.999972767703049,0.9999779531156792,0.0,0.00014742707439818759,2.2005504991741895e-05,,,,,,7.375234902753609e-07,7.375234902753609e-07,3.2066303640565475e-08,3.2066303640565475e-08,4,5,5,,,,
generated_centered_n_20_seed_109,20,Lazy KRON,Optimal,-7.040820614442557,-7.040820614442557,-7.04082020630347,,,,,,0.21351149992551655,-7.794895395818457e-09,1.1071004109704338e-09,6.157933305461043e-08,6.157933305461043e-08,1.9999999644384492,3.437366108304269e-08,58184083.43547364,1.000000015529991,1.000000035176885,0.9999999372709711,0.9999999434392414,0.0,4.0034419157564116e-07,5.796754516572401e-08,,,,,,7.22337277704168e-10,7.22337277704168e-10,3.1405968747009315e-11,3.1405968747009315e-11,2,3,3,,,,
