n,seed,generator,loga_radius,screen_method,screen_status,screen_lower_bound,screen_upper_bound,screen_relative_certification_gap,screen_relative_rank1_residual,screen_rank1_eig_ratio
20,18,centered,1.0,Shor,Optimal,-6.126226104270212,-4.032311618373583,0.3417951688784537,0.39597277888310695,6.054678065952727
20,40,centered,1.0,Shor,Optimal,-7.184530447565408,-2.9404097915792735,0.5907304154336659,0.7076056646515986,1.9997717221489
20,74,centered,1.0,Shor,Optimal,-6.465696002384032,-2.41914719125205,0.6258489124202465,0.7177451794436968,2.1660335784922506
20,96,centered,1.0,Shor,Optimal,-6.710627385596847,-3.2453690248147753,0.5163836645467195,0.635559038983021,2.2768487293600606
20,109,centered,1.0,Shor,Optimal,-7.0409540138987605,-6.649402015785667,0.05561064556595231,0.06109307397641833,55.81295690470329
20,125,centered,1.0,Shor,Optimal,-6.489219498572998,-2.5260510276035966,0.6107311475349102,0.7156079764009508,1.8824675847028385
20,143,centered,1.0,Shor,Optimal,-6.723643252629648,-3.876627026433768,0.42343356409970123,0.504680879752615,4.0591055330179
20,182,centered,1.0,Shor,Optimal,-7.191845245888873,-2.663074871089044,0.6297090968953541,0.7506380198875312,1.8573910568105467
20,185,centered,1.0,Shor,Optimal,-6.761794275013722,-6.559784365314442,0.029875193104550616,0.03819419117178785,51.39770107262958
20,220,centered,1.0,Shor,Optimal,-5.692732155448365,-2.0408522234971174,0.6414986393582788,0.7483414381372844,1.7355300277183048
25,32,centered,1.0,Shor,Optimal,-8.64228933518313,-6.9107061905649685,0.2003616261224687,0.2258502756829423,11.53877393860251
25,34,centered,1.0,Shor,Optimal,-7.257979558551522,-5.0319800133467485,0.3066968606410649,0.3779918038078038,4.6110889582896
25,94,centered,1.0,Shor,Optimal,-7.1452560260295614,-6.309988224485116,0.11689823268776309,0.14126322673154465,21.63477684113848
25,100,centered,1.0,Shor,Optimal,-5.813246901890899,-3.3502110983133733,0.4236936509227509,0.4507626085120338,3.9229986601794575
25,115,centered,1.0,Shor,Optimal,-8.552657871036521,-4.337369851753773,0.4928629301959772,0.5712593360618263,3.2678263883938268
25,445,centered,1.0,Shor,Optimal,-7.664227725449721,-5.983053521043402,0.21935337318120607,0.24298485220070623,9.204423571842197
25,352,centered,1.0,Shor,Optimal,-6.934274415802346,-5.454273327029935,0.21343272562154056,0.2491967154821418,7.899419618856909
25,375,centered,1.0,Shor,Optimal,-7.694462801135044,-7.355761865817111,0.044018789104805375,0.051235894998772194,52.798629024000846
25,421,centered,1.0,Shor,Optimal,-7.814213962013309,-4.30936215530433,0.44852263116250324,0.5252594947978048,2.9326908467518935
25,423,centered,1.0,Shor,Optimal,-7.352444880464215,-4.218923725305139,0.4261876431722713,0.5146977559185462,2.8931510476409157
30,45,centered,1.0,Shor,Optimal,-8.524878120835233,-6.285099475551759,0.2627343891063195,0.3319024875645979,5.265045802873982
30,273,centered,1.0,Shor,Optimal,-7.974038256441964,-3.3947725560604693,0.5742718498600199,0.69685915841594,1.9503083517863007
30,79,centered,1.0,Shor,Optimal,-7.862066057612333,-6.391354798505551,0.18706422056614327,0.2161208368487573,11.083711392484595
30,126,centered,1.0,Shor,Optimal,-8.437431971839827,-7.220218901973194,0.1442634529000194,0.1967049707622199,9.17831970753187
30,146,centered,1.0,Shor,Optimal,-7.4055283217399195,-4.381056213004622,0.4084073380499477,0.49959945866736544,3.599533394462872
30,149,centered,1.0,Shor,Optimal,-9.70394864298779,-5.4495287921022335,0.4384215134897545,0.494552968230259,4.55883541936084
30,160,centered,1.0,Shor,Optimal,-9.586096274373304,-7.834277670847587,0.18274577611001958,0.21418971829728714,12.702400136059472
30,206,centered,1.0,Shor,Optimal,-7.8274396590438,-6.876099122257048,0.1215391722231389,0.1640197490130682,11.644663403536164
30,306,centered,1.0,Shor,Optimal,-8.44618169576301,-6.3914115051869835,0.24327799999931238,0.29609213410468654,5.816077008669279
30,216,centered,1.0,Shor,Optimal,-7.922210623792365,-6.404598478976012,0.1915642258056845,0.22799513991626208,10.473933480040543
