file,n,method,status,value,lower_bound,upper_bound,reference_value,bound_gap,relative_bound_gap,reference_error,relative_reference_error,runtime,pd_gap,relative_pd_gap,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
instance_5_17.mat,5,Lazy KRON,Optimal,-14.221825804191637,-14.221825804191637,-10.453380515336248,-14.207038387440964,0.014787416750673188,0.0010397692219176846,-0.014787416750673188,0.0010397692219176846,0.06286083394661546,2.123553244359755e-08,1.4931649941415218e-09,0.181639412007984,0.181639412007984,1.812431091202762,0.16183012883144768,11.199589991616943,1.0000000123521682,1.0000000215811733,0.781316424944869,0.649076340961799,0.0,3.7684453100909217,0.26497619509196246,,,,,,5.891588162750345e-07,5.891588162750345e-07,7.890330593089218e-08,7.890330593089218e-08,22,23,23,,,,
instance_5_17.mat,5,Full SEP,Optimal,-14.207040263927498,-14.207040263927498,-14.207039613156958,-14.207038387440964,1.8764865341580617e-06,1.3208145393397456e-07,-1.8764865341580617e-06,1.3208145393397456e-07,0.014181583188474178,-2.6057378477162274e-11,1.8341173103678373e-12,3.077154206051692e-08,3.077154206051692e-08,1.999999970482838,2.6686653823492126e-08,74943827.11714303,0.9999999999909531,1.0000000002391276,0.9999999644094533,0.9999999362997363,0.0,6.507444823000696e-07,4.5806200840500964e-08,1.0593128741052525e-11,1.1148295305159322e-11,1.0593128741052525e-11,1.1148295305159322e-11,,,,,,0,0,0,100,,,
instance_5_17.mat,5,Gurobi,OPTIMAL,-14.207040263104979,-14.207043430618151,-14.207040263104979,-14.207038387440964,5.04317718785785e-06,3.5497724860818706e-07,-5.04317718785785e-06,3.5497724860818706e-07,0.04195679211989045,,,,,,,,,,1.0,0.9999999999129556,0.0,,2.229537192668253e-07,,,,,,,,,,,,,,5.0,2.2293557496253811e-07,2
instance_5_51.mat,5,Lazy KRON,Optimal,-15.663759375026368,-15.663759375026368,-15.663752881491906,-15.663759208643935,1.663824331643582e-07,1.062212647556571e-08,-1.663824331643582e-07,1.062212647556571e-08,0.028427625074982643,-1.0526241034369832e-07,6.720124321593208e-09,3.869069088249549e-07,3.869069088249549e-07,1.9999996265434843,3.2435137200313965e-07,6166151.276598037,1.000000006780378,1.0000000191639737,0.9999995390910666,0.9999994988833412,0.0,6.38827205179382e-06,4.145578533650442e-07,,,,,,2.5595510771394727e-08,2.5595510771394727e-08,3.199439211638689e-09,3.199439211638689e-09,8,9,9,,,,
instance_5_51.mat,5,Full SEP,Optimal,-15.663759230747534,-15.663759230747534,-15.663759039044962,-15.663759208643935,2.2103598951161985e-08,1.4111298970794457e-09,-2.2103598951161985e-08,1.4111298970794457e-09,0.013822915963828564,-1.8866266771055962e-08,1.204453317567726e-09,1.08657028674674e-08,1.08657028674674e-08,1.9999999873350418,9.097720357151654e-09,219835289.3714584,0.999999998930817,1.0000000034739298,0.9999999849944885,0.9999999874979271,0.0,1.7283630526776506e-07,1.223860563832685e-08,2.868234898824145e-12,2.9188020543622384e-12,2.868234898824145e-12,2.9188020543622384e-12,,,,,,0,0,0,100,,,
instance_5_51.mat,5,Gurobi,OPTIMAL,-15.663759208792307,-15.66376805093532,-15.663759208792307,-15.663759208643935,8.842291384425494e-06,5.645060215187176e-07,-8.842291384425494e-06,5.645060215187176e-07,0.04586700024083257,,,,,,,,,,0.9999999996750172,1.0000000000000004,4.440892098500626e-16,,5.644965492141683e-07,,,,,,,,,,,,,,5.0,5.643738332397503e-07,1
instance_5_71.mat,5,Lazy KRON,Optimal,-9.953971322391812,-9.953971322391812,-7.45017110344186,-9.94198441019675,0.011986912195062871,0.0012042341500520387,-0.011986912195062871,0.0012042341500520387,0.07280483329668641,3.492072764288423e-08,3.50822063996998e-09,0.17340939732097746,0.17340939732097746,1.8116077303511138,0.16078652686201367,11.267161283394273,1.000000009036016,1.0000000207609892,0.7861599520405391,0.6675196001092377,0.0,2.50380025387068,0.25153781720443225,,,,,,2.933181240732208e-07,2.933181240732208e-07,3.9203560035419315e-08,3.9203560035419315e-08,20,21,21,,,,
instance_5_71.mat,5,Full SEP,Optimal,-9.941984415538208,-9.941984415538208,-9.941983851027654,-9.94198441019675,5.341458830798729e-09,5.372628448753779e-10,-5.341458830798729e-09,5.372628448753779e-10,0.01317979209125042,3.4347600319506455e-09,3.454803275071021e-10,3.755918344356024e-08,3.755918344356024e-08,1.999999961788607,3.2865982780889e-08,60853192.04121207,1.0000000005402003,1.0000000022088091,0.9999999540543828,0.9999999227008531,0.0,5.679453138895951e-07,5.678047060457847e-08,1.258380823466271e-15,1.2645839116934915e-15,1.258380823466271e-15,1.2645839116934915e-15,,,,,,0,0,0,100,,,
instance_5_71.mat,5,Gurobi,OPTIMAL,-9.941984413695033,-9.941989062804296,-9.941984413695033,-9.94198441019675,4.6526075472286266e-06,4.6797552459952966e-07,-4.6526075472286266e-06,4.6797552459952966e-07,0.05152808269485831,,,,,,,,,,0.9999999999142759,1.0,0.0,,4.676236549377562e-07,,,,,,,,,,,,,,5.0,4.67623873073724e-07,1
instance_5_89.mat,5,Lazy KRON,Optimal,-3.784463583537667,-3.784463583537667,-3.710145434718804,-3.783704270718877,0.0007593128187903808,0.00020063948351712902,-0.0007593128187903808,0.00020063948351712902,0.05897725000977516,-2.786215702599293e-12,7.362247359756002e-13,0.02075737780562343,0.02075737780562343,1.978930532579771,0.018298442190818505,108.14748665177228,1.0000000000626867,1.000000000012221,0.9749011029220312,0.9606354415507339,0.0,0.07431814881607712,0.019637696909582017,,,,,,7.091835016953731e-07,7.091835016953731e-07,8.932758945532085e-08,8.932758945532085e-08,16,17,17,,,,
