panel,n,m,cases,shor_tight,max_shor_gap,max_conic_disagreement,max_dual_bracket_gap,max_lazy_skew_violation,median_lazy_rounds,max_lazy_rounds,median_lazy_cuts,max_lazy_cuts,median_dual_oracles,max_dual_oracles,gurobi_closed,Shor_median_time,Shor_max_time,Full SEP_median_time,Full SEP_max_time,Lazy SEP_median_time,Lazy SEP_max_time,Dual LOP/TRS_median_time,Dual LOP/TRS_max_time,Gurobi_median_time,Gurobi_max_time
square,2,2,10,0,0.2852267050162142,5.463215460869383e-08,8.949463515773697e-07,2.328692794151266e-14,2.0,2.0,1.0,1.0,23.0,23.0,10,0.0010562913957983255,0.001262832898646593,0.001207832945510745,0.0014409171417355537,0.0014281669864431024,0.007104958000127226,0.018266292056068778,0.019840457942336798,0.02512497897259891,0.41936558298766613
square,4,4,10,0,0.23552418119983812,3.1636990482958894e-08,8.34796735274782e-07,5.802247571295993e-12,2.0,2.0,36.0,36.0,23.0,23.0,9,0.001228041248396039,0.0012998753227293491,0.0024161874316632748,0.002694415859878063,0.0051585829933173954,0.005453999969176948,0.022525166627019644,0.02391708316281438,1.8061236664652824,5.001184542197734
square,6,6,10,0,0.19410162868752964,1.2242115111286208e-07,8.06484025222208e-07,1.2631582418931586e-08,3.0,4.0,100.0,150.0,23.0,23.0,0,0.0014399373903870583,0.0016488749533891678,0.01119737490080297,0.012633041944354773,0.020817583485040814,0.03109166701324284,0.02437635464593768,0.026531833689659834,5.003268521046266,5.0039362497627735
square,8,8,10,0,0.14252857923279066,3.186072902676381e-08,7.481044493741623e-07,2.2485547625239466e-09,5.0,6.0,200.0,250.0,23.0,23.0,0,0.0017925205174833536,0.0018911249935626984,0.04905587527900934,0.05450833309441805,0.0817237920127809,0.10237512498861179,0.028038562508299947,0.029115584213286638,5.004732812521979,5.005839291960001
square,10,10,10,0,0.12216178404382175,4.14068149297917e-08,7.2948882072389e-07,2.0607246464798834e-09,9.0,12.0,400.0,550.0,23.0,23.0,0,0.0020200626458972692,0.0023039160296320915,0.3206516671925783,0.40209754183888435,0.3183429795317352,0.5009875409887172,0.0306212289724499,0.033456666860729456,5.006633416400291,5.538096917094663
square,15,15,10,0,0.06848769176665637,1.2300976478777482e-08,6.650110843502143e-07,3.025451114678848e-09,21.5,37.0,1025.0,1800.0,23.0,23.0,0,0.002737875794991851,0.0028572087176144123,11.995183166349307,13.020514083094895,3.1014189585112035,7.934350249997806,0.04002391709946096,0.04126854194328189,35.99776287493296,39.07391666690819
square,20,20,10,0,0.0668801459966334,5.499862532525217e-09,6.633147747614604e-07,9.925298125046389e-09,63.0,76.0,3100.0,3750.0,23.0,23.0,0,0.0053201045375317335,0.005670249927788973,481.33094643754885,1143.645640542265,51.20122012501815,75.15190554200672,0.059789271326735616,0.06786091672256589,1444.0643693124875,3430.9720809999853
rectangular,4,8,10,0,0.18199419038868242,3.1787216668276906e-07,7.891859909200907e-07,1.8170897564395716e-09,3.0,4.0,100.0,150.0,23.0,23.0,0,0.0014390829019248486,0.0015695001929998398,0.0070936670526862144,0.00912295887246728,0.015878521488048136,0.024532459035981447,0.02718674996867776,0.028684790711849928,5.003653604537249,5.006672666873783
rectangular,8,12,10,0,0.10868312481623148,1.1869128870347083e-07,7.136288546532551e-07,2.208121914482053e-09,9.0,11.0,400.0,500.0,23.0,23.0,0,0.001901271054521203,0.002124791033565998,0.24775995849631727,0.3330256659537554,0.26715499997953884,0.3558840839541517,0.03318560402840376,0.0341993747279048,5.0066827919799834,5.010260708164424
rectangular,10,20,10,0,0.08679836199609757,8.54063433324852e-09,6.844941394250841e-07,2.176471428864263e-09,20.0,30.0,950.0,1450.0,23.0,23.0,0,0.002621624618768692,0.002965332940220833,7.136117354501039,9.74936941685155,2.241780854499666,4.564606083033141,0.05104170832782984,0.05564379179850221,21.421176333446056,29.2597477089148
rectangular,15,20,10,0,0.060264117503127504,2.2877188962870136e-08,6.523022624737582e-07,1.868078341321633e-09,41.0,54.0,2000.0,2650.0,23.0,23.0,0,0.0040011045057326555,0.004404458217322826,59.17810077103786,81.26001945883036,15.215174354001647,26.74495395895792,0.0540849375538528,0.07037920923903584,177.54876520845573,243.80125420773402
rectangular,15,25,10,0,0.055330353109080514,3.101209585137257e-07,6.468249925281451e-07,2.342243221424567e-09,46.0,82.0,2250.0,4050.0,23.0,23.0,0,0.0051284790970385075,0.010647875256836414,249.53728212509304,375.3030473329127,24.949050145514775,81.61751308303792,0.0654446876142174,0.07347408309578896,748.6594289792702,1126.481867833063
