panel,size,method,cases,median_gap,max_gap,median_time,bound,reference
regular,3,Shor,1,,,,1.4142135621326124,1.0
regular,3,RLT,1,,,,1.414213561994568,1.0
regular,3,KRON,1,,,,1.1747498313050113,1.0
regular,3,Full SEP,1,,,,1.1143727695994095,1.0
regular,4,Shor,1,,,,1.4142135622503242,1.0
regular,4,RLT,1,,,,1.414213561644416,1.0
regular,4,KRON,1,,,,1.1332032528540663,1.0
regular,4,Full SEP,1,,,,1.0017346066852997,1.0
regular,5,Shor,1,,,,1.414213562207552,0.9999999999999999
regular,5,RLT,1,,,,1.41421356184866,0.9999999999999999
regular,5,KRON,1,,,,1.1631844936770286,0.9999999999999999
regular,5,Full SEP,1,,,,1.025778324257198,0.9999999999999999
regular,6,Shor,1,,,,1.414213562122828,1.0
regular,6,RLT,1,,,,1.4142135621119698,1.0
regular,6,KRON,1,,,,1.1332032514200232,1.0
regular,6,Full SEP,1,,,,1.001734606703154,1.0
regular,7,Shor,1,,,,1.414213562050926,0.9999999999999999
regular,7,RLT,1,,,,1.4142135621284873,0.9999999999999999
regular,7,KRON,1,,,,1.1495843816869034,0.9999999999999999
regular,7,Full SEP,1,,,,1.0103153954094117,0.9999999999999999
regular,8,Shor,1,,,,1.4142135619560985,1.0
regular,8,RLT,1,,,,1.4142135620893082,1.0
regular,8,KRON,1,,,,1.1332032487481962,1.0
regular,8,Full SEP,1,,,,1.0017346067014639,1.0
regular,10,Shor,1,,,,1.4142135619001341,0.9999999999999999
regular,10,RLT,1,,,,1.4142135622916705,0.9999999999999999
regular,10,KRON,1,,,,1.1332032518891078,0.9999999999999999
regular,10,Full SEP,1,,,,1.0017346066699317,0.9999999999999999
regular,12,Shor,1,,,,1.4142135621849334,1.0
regular,12,RLT,1,,,,1.4142135622614829,1.0
regular,12,KRON,1,,,,1.1332032524728344,1.0
regular,12,Full SEP,1,,,,1.0017346066884902,1.0
regular,16,Shor,1,,,,1.414213561690682,0.9999999999999999
regular,16,RLT,1,,,,1.4142135623513605,0.9999999999999999
regular,16,KRON,1,,,,1.1332032418147924,0.9999999999999999
regular,16,Full SEP,1,,,,1.0017346066780337,0.9999999999999999
targeted,4,Shor,1,,,,1.2174074783534057,0.7256779914094216
targeted,4,RLT,1,,,,1.038289939132811,0.7256779914094216
targeted,4,KRON,1,,,,0.8379375080929427,0.7256779914094216
targeted,4,Full SEP,1,,,,0.7257975087589768,0.7256779914094216
random,4,Full SEP,10,0.08388114120174611,0.2188810583746137,0.04617787501774728,,
random,4,KRON,10,0.1519969272949268,0.23374479960094952,0.07392795843770728,,
random,4,RLT,10,0.45430402868218484,0.5245860949443909,0.004744896083138883,,
random,4,Shor,10,0.4617034192278073,0.5245860950318847,0.0021897920523770154,,
random,6,Full SEP,10,0.14379222782213225,0.2574124776151864,0.09639249998144805,,
random,6,KRON,10,0.20333348149030583,0.264055376904611,0.1838532704859972,,
random,6,RLT,10,0.42560044768864397,0.4937988350453629,0.005499687511473894,,
random,6,Shor,10,0.445169848690981,0.49463069417177064,0.0024375420180149376,,
random,8,Full SEP,10,0.21699814405753048,0.3512252829235023,0.1735006045200862,,
random,8,KRON,10,0.26771078959472877,0.3551622517278171,0.5064897705451585,,
random,8,RLT,10,0.4719038895062995,0.5045390576992516,0.007230354007333517,,
random,8,Shor,10,0.47966305591630576,0.5057083274277224,0.002790958562400192,,
random,10,Full SEP,10,0.2494986918953463,0.3321160787632526,0.31319020857336,,
random,10,KRON,10,0.31822919502610914,0.38873430302897843,1.4301673540030606,,
random,10,RLT,10,0.5263808545740535,0.6070714496086131,0.009405395481735468,,
random,10,Shor,10,0.5263808547120955,0.6182959835200408,0.0032833540462888777,,
random,15,Full SEP,10,0.3145366517425895,0.38683271218695575,0.8185408744611777,,
random,15,KRON,10,0.35808709619732054,0.40213284731677296,7.235190374951344,,
random,15,RLT,10,0.5367255262979297,0.6241320610589596,0.011150270991493016,,
random,15,Shor,10,0.5367255264089509,0.6241320610727374,0.0036860830150544643,,
random,20,Full SEP,10,0.3647873727370562,0.40249569159710186,2.2134130829945207,,
random,20,KRON,10,0.4016131171196847,0.43040941716592573,35.14467741700355,,
random,20,RLT,10,0.5808825803854377,0.6134449012608323,0.014557583490386605,,
random,20,Shor,10,0.5808825805526924,0.6134449013895,0.0043341879500076175,,
